/root/workspace/UIE/datasets/UIEB_Dataset/821_img_.png,OURS,0.4289,1.435,7.811
/root/workspace/UIE/datasets/UIEB_Dataset/692_img_.png,OURS,0.4172,1.0115,7.443
/root/workspace/UIE/datasets/UIEB_Dataset/364_img_.png,OURS,0.4249,0.2342,7.1279
/root/workspace/UIE/datasets/UIEB_Dataset/890_img_.png,OURS,0.4355,1.452,7.7927
/root/workspace/UIE/datasets/UIEB_Dataset/646_img_.png,OURS,0.3865,1.3982,7.4639
/root/workspace/UIE/datasets/UIEB_Dataset/918_img_.png,OURS,0.4573,1.4013,7.5822
/root/workspace/UIE/datasets/UIEB_Dataset/152_img_.png,OURS,0.4061,1.4476,7.6287
/root/workspace/UIE/datasets/UIEB_Dataset/3015.png,OURS,0.4198,1.0639,7.2774
/root/workspace/UIE/datasets/UIEB_Dataset/587_img_.png,OURS,0.4174,1.5358,7.6971
/root/workspace/UIE/datasets/UIEB_Dataset/817_img_.png,OURS,0.4347,1.6815,7.7704
/root/workspace/UIE/datasets/UIEB_Dataset/1660.png,OURS,0.4402,1.333,7.8576
/root/workspace/UIE/datasets/UIEB_Dataset/9907.png,OURS,0.4419,0.7807,7.3323
/root/workspace/UIE/datasets/UIEB_Dataset/26_img_.png,OURS,0.3733,1.2308,7.5251
/root/workspace/UIE/datasets/UIEB_Dataset/621_img_.png,OURS,0.4047,0.9703,7.3155
/root/workspace/UIE/datasets/UIEB_Dataset/211_img_.png,OURS,0.4255,1.4442,7.6835
/root/workspace/UIE/datasets/UIEB_Dataset/913_img_.png,OURS,0.4305,1.3234,7.7977
/root/workspace/UIE/datasets/UIEB_Dataset/776_img_.png,OURS,0.4123,1.6204,7.4439
/root/workspace/UIE/datasets/UIEB_Dataset/3650.png,OURS,0.4125,0.7538,7.4295
/root/workspace/UIE/datasets/UIEB_Dataset/206_img_.png,OURS,0.4139,1.5707,7.7225
/root/workspace/UIE/datasets/UIEB_Dataset/267_img_.png,OURS,0.4165,1.2967,7.6606
/root/workspace/UIE/datasets/UIEB_Dataset/3196.png,OURS,0.4031,1.2806,7.2093
/root/workspace/UIE/datasets/UIEB_Dataset/254_img_.png,OURS,0.4312,1.1403,7.855
/root/workspace/UIE/datasets/UIEB_Dataset/59_img_.png,OURS,0.4254,1.1925,7.6147
/root/workspace/UIE/datasets/UIEB_Dataset/246_img_.png,OURS,0.4021,1.1317,7.476
/root/workspace/UIE/datasets/UIEB_Dataset/699_img_.png,OURS,0.4167,1.3294,7.5418
/root/workspace/UIE/datasets/UIEB_Dataset/386_img_.png,OURS,0.4306,1.6713,7.773
/root/workspace/UIE/datasets/UIEB_Dataset/318_img_.png,OURS,0.4414,1.1187,7.4526
/root/workspace/UIE/datasets/UIEB_Dataset/614_img_.png,OURS,0.4276,1.0564,7.7279
/root/workspace/UIE/datasets/UIEB_Dataset/849_img_.png,OURS,0.4079,1.4486,7.495
/root/workspace/UIE/datasets/UIEB_Dataset/756.png,OURS,0.4622,0.5555,7.6363
/root/workspace/UIE/datasets/UIEB_Dataset/403_img_.png,OURS,0.3961,1.2048,7.4145
/root/workspace/UIE/datasets/UIEB_Dataset/327_img_.png,OURS,0.4123,0.6696,7.4075
/root/workspace/UIE/datasets/UIEB_Dataset/404_img_.png,OURS,0.3838,1.3615,6.9705
/root/workspace/UIE/datasets/UIEB_Dataset/238_img_.png,OURS,0.4111,1.3543,7.4488
/root/workspace/UIE/datasets/UIEB_Dataset/683_img_.png,OURS,0.4275,1.1983,7.5128
/root/workspace/UIE/datasets/UIEB_Dataset/319_img_.png,OURS,0.3843,0.9736,7.3555
/root/workspace/UIE/datasets/UIEB_Dataset/20.png,OURS,0.4087,1.4445,7.5969
/root/workspace/UIE/datasets/UIEB_Dataset/252_img_.png,OURS,0.3854,1.5468,7.5688
/root/workspace/UIE/datasets/UIEB_Dataset/557_img_.png,OURS,0.3821,1.2629,7.4653
/root/workspace/UIE/datasets/UIEB_Dataset/435_img_.png,OURS,0.413,1.186,7.5959
/root/workspace/UIE/datasets/UIEB_Dataset/715_img_.png,OURS,0.4229,0.8918,7.7875
/root/workspace/UIE/datasets/UIEB_Dataset/116_img_.png,OURS,0.4078,1.5731,7.7825
/root/workspace/UIE/datasets/UIEB_Dataset/756_img_.png,OURS,0.4335,1.6546,7.3898
/root/workspace/UIE/datasets/UIEB_Dataset/214_img_.png,OURS,0.4189,1.4889,7.4955
/root/workspace/UIE/datasets/UIEB_Dataset/15001.png,OURS,0.4527,0.9337,7.5782
/root/workspace/UIE/datasets/UIEB_Dataset/854_img_.png,OURS,0.3862,0.9298,7.4792
/root/workspace/UIE/datasets/UIEB_Dataset/775_img_.png,OURS,0.4077,1.8667,7.6334
/root/workspace/UIE/datasets/UIEB_Dataset/208_img_.png,OURS,0.4054,1.4756,7.7164
/root/workspace/UIE/datasets/UIEB_Dataset/509_img_.png,OURS,0.4169,1.3852,7.5677
/root/workspace/UIE/datasets/UIEB_Dataset/285_img_.png,OURS,0.3534,1.14,7.2338
/root/workspace/UIE/datasets/UIEB_Dataset/3728.png,OURS,0.4009,0.9796,7.3316
/root/workspace/UIE/datasets/UIEB_Dataset/11398.png,OURS,0.447,0.8553,7.4189
/root/workspace/UIE/datasets/UIEB_Dataset/345_img_.png,OURS,0.3854,0.9912,7.3493
/root/workspace/UIE/datasets/UIEB_Dataset/6788.png,OURS,0.4004,1.388,7.4711
/root/workspace/UIE/datasets/UIEB_Dataset/171_img_.png,OURS,0.3997,1.2561,7.6145
/root/workspace/UIE/datasets/UIEB_Dataset/9896.png,OURS,0.452,1.0388,7.4536
/root/workspace/UIE/datasets/UIEB_Dataset/508_img_.png,OURS,0.445,1.2499,7.7211
/root/workspace/UIE/datasets/UIEB_Dataset/584_img_.png,OURS,0.431,0.8494,7.7371
/root/workspace/UIE/datasets/UIEB_Dataset/528_img_.png,OURS,0.3972,1.4653,7.6261
/root/workspace/UIE/datasets/UIEB_Dataset/188_img_.png,OURS,0.4211,1.7274,7.6778
/root/workspace/UIE/datasets/UIEB_Dataset/298_img_.png,OURS,0.41,1.2411,7.7224
/root/workspace/UIE/datasets/UIEB_Dataset/547_img_.png,OURS,0.4162,1.35,7.6689
/root/workspace/UIE/datasets/UIEB_Dataset/594_img_.png,OURS,0.4276,1.3137,7.7726
/root/workspace/UIE/datasets/UIEB_Dataset/480_img_.png,OURS,0.3866,0.8913,7.3182
/root/workspace/UIE/datasets/UIEB_Dataset/251_img_.png,OURS,0.4237,1.7859,7.7334
/root/workspace/UIE/datasets/UIEB_Dataset/195_img_.png,OURS,0.438,1.4494,7.6963
/root/workspace/UIE/datasets/UIEB_Dataset/637_img_.png,OURS,0.4134,1.4792,7.6696
/root/workspace/UIE/datasets/UIEB_Dataset/642_img_.png,OURS,0.4201,1.1959,7.7207
/root/workspace/UIE/datasets/UIEB_Dataset/497_img_.png,OURS,0.4375,1.7724,7.8345
/root/workspace/UIE/datasets/UIEB_Dataset/320_img_.png,OURS,0.432,1.4947,7.7818
/root/workspace/UIE/datasets/UIEB_Dataset/672_img_.png,OURS,0.4029,1.2276,7.7882
/root/workspace/UIE/datasets/UIEB_Dataset/575_img_.png,OURS,0.3969,1.3677,7.7013
/root/workspace/UIE/datasets/UIEB_Dataset/656_img_.png,OURS,0.4072,1.0913,7.6619
/root/workspace/UIE/datasets/UIEB_Dataset/577_img_.png,OURS,0.4238,0.8535,7.6206
/root/workspace/UIE/datasets/UIEB_Dataset/892_img_.png,OURS,0.4114,1.2767,7.7507
/root/workspace/UIE/datasets/UIEB_Dataset/852_img_.png,OURS,0.3926,1.2308,7.6276
/root/workspace/UIE/datasets/UIEB_Dataset/814_img_.png,OURS,0.3914,1.3362,7.5409
/root/workspace/UIE/datasets/UIEB_Dataset/7654.png,OURS,0.4052,1.6556,7.403
/root/workspace/UIE/datasets/UIEB_Dataset/15136.png,OURS,0.4247,0.9693,7.5934
