filename,entropy,gradient_mean
1.png,6.842708073875784,57.059027851450274
1_clahe3.jpg,7.754068395414738,134.95475375339728
1_dehaze2.jpg,7.276199790868262,110.06585573855467
1_res.jpg,7.464268690716983,120.69695282440611
1_ssr4.jpg,5.6552674676664765,28.20418150718589
1_wb1.jpg,7.627435684347917,104.84374765026966
2.png,6.172136876767855,27.34845535940889
2_clahe3.jpg,7.891820128496861,112.74497734085053
2_dehaze2.jpg,7.36794462002677,105.46259153017219
2_res.jpg,7.694853598181449,107.52360689692449
2_ssr4.jpg,6.423250697344733,40.80278964931863
2_wb1.jpg,7.893484575506152,102.639607774254
3.jpg,7.205929286725854,11.100674331867891
3_clahe3.jpg,7.4020991921794534,22.36132257663406
3_dehaze2.jpg,4.515933458026238,14.031916281943257
3_res.jpg,7.186127780134655,36.883821735181115
3_ssr4.jpg,6.864164461420382,8.541700827161739
3_wb1.jpg,7.23090087004726,12.472652939570505
4.png,5.809543635818359,19.016377496606133
4_clahe3.jpg,7.748628606275681,86.34616319814211
4_dehaze2.jpg,7.665625532660666,83.80572890132038
4_ssr4.jpg,6.15274512874483,26.169655992886906
4_wb1.jpg,7.7333334168295895,76.34213174935644
